Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,90sGls,90sAst,90sG+A,90sG-PK,90sG+A-PK,90sxG,90sxAG,90sxG+xAG,90snpxG,90snpxG+xAG,Sh,SoT,SoTPercent,Sh90,SoT90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,TotCmp,TotAtt,TotCmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,xAG,xA,A-xAG,KP,Passes3rd,PPA,CrsPA,PrgP,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,GCASh,Fld,Def,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouches,Att,Succ,SuccPercent,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,Final3rd,CPA,Mis,Dis,Rec,PrgR
Aaron Lennon,eng ENG,MFFW,Burnley,34,1987,28,17,1551,17.2,2,0,2,2,0,0,2,0,1.1,1.1,0.5,1.6,38,19,77,0.12,0,0.12,0.12,0.12,0.06,0.03,0.09,0.06,0.09,12,4,33.3,0.7,0.23,0.17,0.5,20.1,0,0,0,1.1,1.1,0.09,0.9,0.9,252,382,66,3280,783,156,197,79.2,65,102,63.7,10,28,35.7,0.5,0.5,-0.5,9,14,4,2,19,33,1.92,21,0,5,2,5,0,4,0.23,1,0,2,0,1,0,542,21,85,222,243,42,542,30,13,43.3,17,56.7,286,1641,738,38,10,20,25,13,334,77
Bernd Leno,de GER,GK,Arsenal,29,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,76,115,66.1,2214,1594,18,18,100,28,28,100,29,67,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,100,125,0,0,0,125,0,0,,0,,61,326,179,0,0,0,0,0,49,0
Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,3,7,7,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,,0,0,,,,0,0,0,0,0,,0,0,79,104,76,1281,448,34,40,85,38,47,80.9,4,10,40,0,0,0,1,3,0,0,7,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0,131,8,54,45,32,1,131,3,0,0,3,100,59,251,100,3,0,0,1,7,66,7
Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,28,26,2355,26.2,0,2,2,0,0,0,4,0,0.2,0.2,0.6,0.8,14,72,3,0,0.08,0.08,0,0.08,0.01,0.02,0.03,0.01,0.03,3,2,66.7,0.11,0.08,0,0,8.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,1215,1385,87.7,22399,8069,452,486,93,637,691,92.2,107,165,64.8,0.6,0.8,1.4,4,75,6,0,72,13,0.5,12,0,0,0,0,1,4,0.15,3,0,0,0,0,1,1595,221,881,680,46,10,1595,3,3,100,0,0,919,5814,3385,14,17,3,8,1,1025,3
Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,16,2,367,4.1,2,0,2,2,0,0,1,0,0.6,0.6,0.3,1,9,13,22,0.49,0,0.49,0.49,0.49,0.16,0.08,0.24,0.16,0.24,8,6,75,1.96,1.47,0.25,0.33,18.6,0,0,0,0.6,0.6,0.08,1.4,1.4,128,153,83.7,1533,382,75,85,88.2,33,41,80.5,0,4,0,0.3,0.2,-0.3,8,11,2,0,13,16,3.92,13,0,0,2,1,0,1,0.25,0,0,0,1,0,0,200,2,18,89,93,8,200,6,2,33.3,4,66.7,127,542,311,9,5,1,12,5,152,22
Valentino Livramento,eng ENG,DF,Southampton,18,2002,28,25,2202,24.5,1,1,2,1,0,0,2,0,1.4,1.4,2.7,4.1,79,80,118,0.04,0.04,0.08,0.04,0.08,0.06,0.11,0.17,0.06,0.17,12,3,25,0.49,0.12,0.08,0.33,15.9,0,0,0,1.4,1.4,0.12,-0.4,-0.4,864,1166,74.1,12649,4429,507,587,86.4,281,388,72.4,43,106,40.6,2.7,2.7,-1.7,20,44,27,8,80,44,1.8,37,0,2,1,3,1,3,0.12,1,0,1,0,1,0,1486,74,407,675,441,47,1486,55,30,54.5,25,45.5,742,5095,2722,79,54,16,52,19,763,118
Diego Llorente,es ESP,DF,Leeds United,27,1993,28,28,2340,26,3,0,3,3,0,0,7,0,1,1,0.1,1,20,97,1,0.12,0,0.12,0.12,0.12,0.04,0,0.04,0.04,0.04,10,3,30,0.38,0.12,0.3,1,10.6,0,0,0,1,1,0.1,2,2,1115,1373,81.2,21989,7473,335,389,86.1,648,712,91,118,225,52.4,0.1,0.2,-0.1,2,68,3,0,97,9,0.35,7,0,0,0,1,1,0,0,0,0,0,0,0,0,1654,193,897,720,49,11,1654,13,8,61.5,5,38.5,980,6495,4314,20,2,1,20,3,1015,1
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,38,3420,38,0,0,0,0,0,0,2,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,,0,0,,,,0,0,0,0,0,,0,0,767,957,80.1,18629,12234,247,252,98,295,299,98.7,211,388,54.4,0.2,0.1,-0.2,2,15,1,0,0,6,0.16,6,0,0,0,0,0,3,0.08,3,0,0,0,0,0,1046,951,1043,3,0,0,1046,0,0,,0,,544,3199,1979,0,0,0,2,0,377,0
Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,9,2,238,2.6,0,0,0,0,0,0,0,0,0.6,0.6,0.7,1.3,10,8,15,0,0,0,0,0,0.23,0.26,0.49,0.23,0.49,9,0,0,3.4,0,0,,19.4,1,0,0,0.6,0.6,0.07,-0.6,-0.6,128,161,79.5,1757,346,76,81,93.8,28,40,70,10,13,76.9,0.7,0.3,-0.7,5,10,0,0,8,10,3.78,5,2,1,1,1,0,0,0,0,0,0,0,0,0,210,1,23,100,90,10,210,15,9,60,6,40,121,831,340,10,11,2,11,3,155,15
Jürgen Locadia,nl NED,MFFW,Brighton,27,1993,1,0,23,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.61,0,0.61,0.61,0.61,1,0,0,3.91,0,0,,20.2,0,0,0,0.2,0.2,0.16,-0.2,-0.2,1,1,100,25,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,3,0,0,,0,,3,16,0,0,0,0,1,1,3,0
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,24,13,1394,15.5,0,2,2,0,0,0,1,0,1.2,1.2,2.4,3.6,69,108,53,0,0.13,0.13,0,0.13,0.08,0.16,0.24,0.08,0.24,19,6,31.6,1.23,0.39,0,0,18.6,0,0,0,1.2,1.2,0.06,-1.2,-1.2,876,981,89.3,13025,3046,507,547,92.7,315,355,88.7,33,42,78.6,2.4,2.4,-0.4,18,77,20,0,108,56,3.62,44,0,3,4,3,2,6,0.39,3,0,0,2,0,1,1172,20,182,682,327,40,1172,60,42,70,18,30,724,4399,2651,69,50,9,27,33,887,53
Kevin Long,ie IRL,DF,Burnley,30,1990,6,4,410,4.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,4,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,4,0,0,0.88,0,0,,13.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,79,102,77.5,1696,601,19,22,86.4,46,54,85.2,14,21,66.7,0,0,0,0,2,0,0,4,1,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,141,25,81,53,7,7,141,0,0,,0,,52,286,125,1,0,0,2,0,69,0
Shane Long,ie IRL,FW,Southampton,34,1987,13,3,308,3.4,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1,5,3,24,0.29,0,0.29,0.29,0.29,0.25,0.04,0.3,0.25,0.3,9,5,55.6,2.63,1.46,0.11,0.2,11.3,0,0,0,0.9,0.9,0.1,0.1,0.1,43,72,59.7,411,97,32,46,69.6,5,11,45.5,0,1,0,0.1,0.1,-0.1,2,4,1,0,3,5,1.46,2,0,0,0,3,0,0,0,0,0,0,0,0,0,129,2,8,47,75,18,129,4,1,25,3,75,61,247,68,5,3,2,12,11,104,24
Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,24,15,1464,16.3,1,1,2,1,0,0,1,0,0.7,0.7,0.8,1.6,2,43,15,0.06,0.06,0.12,0.06,0.12,0.05,0.05,0.1,0.05,0.1,15,2,13.3,0.92,0.12,0.07,0.5,26,1,0,0,0.7,0.7,0.05,0.3,0.3,481,604,79.6,8348,2303,229,271,84.5,177,200,88.5,52,89,58.4,0.8,0.8,0.2,7,44,4,0,43,26,1.6,22,2,0,1,0,1,3,0.18,2,1,0,0,0,0,775,43,201,439,138,14,775,11,6,54.5,5,45.5,372,1366,429,2,7,1,22,18,430,15
Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,26,16,1453,16.1,6,0,6,6,0,0,2,0,4.5,4.5,1.9,6.4,43,54,139,0.37,0,0.37,0.37,0.37,0.28,0.11,0.4,0.28,0.4,26,12,46.2,1.61,0.74,0.23,0.5,15,0,0,0,4.5,4.5,0.17,1.5,1.5,405,536,75.6,5124,1306,260,313,83.1,113,136,83.1,8,21,38.1,1.9,1.8,-1.9,23,19,20,1,54,46,2.85,35,1,4,3,3,0,3,0.19,2,0,0,0,1,0,755,7,93,327,345,88,755,58,38,65.5,20,34.5,501,2680,1278,43,26,24,59,52,558,139
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,42,61,68.9,1177,782,6,6,100,17,18,94.4,18,36,50,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,46,62,2,0,0,64,0,0,,0,,37,186,103,0,0,0,0,0,34,0
Imran Louza,ma MAR,MF,Watford,22,1999,20,17,1416,15.7,0,0,0,0,0,0,6,0,1.2,1.2,1.1,2.3,17,67,24,0,0,0,0,0,0.08,0.07,0.15,0.08,0.15,17,4,23.5,1.08,0.25,0,0,27.5,6,0,0,1.2,1.2,0.07,-1.2,-1.2,521,711,73.3,9666,3088,208,254,81.9,226,284,79.6,75,143,52.4,1.1,1.1,-1.1,15,63,8,1,67,34,2.16,16,11,1,2,1,3,2,0.13,2,0,0,0,0,0,911,42,236,538,160,10,911,24,14,58.3,10,41.7,385,2088,949,17,9,2,19,9,446,24
Matthew Lowton,eng ENG,DF,Burnley,32,1989,25,20,1772,19.7,1,2,3,1,0,0,3,1,0.7,0.7,2.1,2.8,21,74,39,0.05,0.1,0.15,0.05,0.15,0.03,0.11,0.14,0.03,0.14,10,2,20,0.51,0.1,0.1,0.5,21.6,0,0,0,0.7,0.7,0.07,0.3,0.3,599,887,67.5,10846,5050,302,344,87.8,197,286,68.9,90,208,43.3,2.1,1.6,-0.1,18,65,21,9,74,34,1.73,25,4,0,1,2,2,2,0.1,1,0,0,1,0,0,1090,94,314,507,279,5,1090,21,10,47.6,11,52.4,419,1585,915,21,14,0,11,6,481,39
Douglas Luiz,br BRA,MF,Aston Villa,23,1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,2,2,2.5,4.4,28,105,44,0.07,0.1,0.17,0.07,0.17,0.07,0.08,0.15,0.07,0.15,23,8,34.8,0.76,0.27,0.09,0.25,25.3,8,0,0,2,2,0.09,0,0,1290,1550,83.2,21991,7065,567,644,88,559,629,88.9,121,210,57.6,2.5,2.2,0.5,37,107,19,2,105,89,2.95,60,21,1,2,5,0,9,0.3,6,2,0,1,0,0,1823,84,459,1060,319,8,1823,43,24,55.8,19,44.2,1006,5053,2345,28,16,1,50,17,1116,44
Romelu Lukaku,be BEL,FW,Chelsea,28,1993,26,16,1589,17.7,8,0,8,7,1,1,1,0,6.6,5.8,3,8.8,29,19,125,0.45,0,0.45,0.4,0.4,0.38,0.17,0.54,0.33,0.5,42,14,33.3,2.38,0.79,0.17,0.5,13.8,1,1,1,6.6,5.8,0.14,1.4,1.2,231,327,70.6,2627,415,157,194,80.9,43,65,66.2,6,12,50,3,1.7,-3,24,10,9,0,19,50,2.83,35,0,5,3,6,1,5,0.28,0,0,3,0,2,0,483,21,29,198,259,90,482,25,13,52,12,48,237,1184,570,29,15,17,37,25,360,125
Lyanco,br BRA,DF,Southampton,24,1997,15,9,911,10.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,3,18,1,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,6,1,16.7,0.59,0.1,0,0,16.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,282,397,71,5428,2134,94,107,87.9,158,189,83.6,25,89,28.1,0.1,0.1,-0.1,3,25,2,0,18,10,0.99,6,0,1,2,0,1,1,0.1,1,0,0,0,0,0,530,104,272,245,19,4,530,4,4,100,0,0,280,1232,536,3,1,0,5,2,265,1
Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,33,22,2123,23.6,5,2,7,3,2,3,4,0,6.3,4,1.9,5.9,30,137,66,0.21,0.08,0.3,0.13,0.21,0.27,0.08,0.35,0.17,0.25,57,9,15.8,2.42,0.38,0.05,0.33,22,4,2,3,6.3,4,0.07,-1.3,-1,858,1066,80.5,14410,4157,411,473,86.9,328,370,88.6,78,133,58.6,1.9,2.6,0.1,31,104,25,2,137,83,3.52,57,10,3,3,7,3,5,0.21,2,2,0,1,0,0,1368,41,222,652,510,49,1365,42,21,50,21,50,719,3238,1502,30,38,2,43,23,854,66
James Maddison,eng ENG,MFFW,Leicester City,24,1996,35,28,2459,27.3,12,8,20,12,0,0,3,0,7.5,7.5,5.1,12.7,53,136,141,0.44,0.29,0.73,0.44,0.73,0.28,0.19,0.46,0.28,0.46,72,33,45.8,2.64,1.21,0.17,0.36,20.7,13,0,0,7.5,7.5,0.1,4.5,4.5,796,1089,73.1,13401,4128,389,453,85.9,292,365,80,89,198,44.9,5.1,3.9,2.9,48,82,38,7,136,106,3.88,65,14,7,9,9,2,18,0.66,13,1,1,1,2,0,1343,19,173,648,535,73,1343,48,31,64.6,17,35.4,851,4504,1981,53,43,13,42,32,973,141
Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,30,28,2515,27.9,1,0,1,1,0,0,9,1,1.9,1.9,0.1,2.1,22,115,5,0.04,0,0.04,0.04,0.04,0.07,0,0.07,0.07,0.07,23,10,43.5,0.82,0.36,0.04,0.1,12.8,0,0,0,1.9,1.9,0.08,-0.9,-0.9,1353,1578,85.7,27400,9647,436,476,91.6,722,792,91.2,174,265,65.7,0.1,0.6,-0.1,4,116,2,0,115,24,0.86,14,2,1,5,0,2,0,0,0,0,0,0,0,0,1843,236,851,903,102,42,1843,5,4,80,1,20,1068,6087,3525,22,15,1,13,5,1212,5
Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,28,15,1498,16.6,11,5,16,7,4,5,0,0,10.1,6.2,4.2,10.4,74,70,234,0.66,0.3,0.96,0.42,0.72,0.61,0.25,0.86,0.37,0.62,56,18,32.1,3.36,1.08,0.13,0.39,17.9,6,4,5,10.1,6.2,0.11,0.9,0.8,777,947,82,11969,2132,443,486,91.2,264,313,84.3,53,102,52,4.2,3.8,0.8,39,27,34,6,70,73,4.38,55,12,1,4,1,0,10,0.6,7,2,0,1,0,0,1135,11,81,318,746,127,1130,50,26,52,24,48,775,4744,2037,74,35,44,42,21,847,234
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,8,2,268,3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,2,15,8,0,0,0,0,0,0.02,0.09,0.12,0.02,0.12,2,0,0,0.67,0,0,,30.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,106,138,76.8,1811,549,46,58,79.3,54,62,87.1,6,13,46.2,0.3,0.5,-0.3,3,16,4,1,15,7,2.35,5,0,0,1,0,1,0,0,0,0,0,0,0,0,171,8,41,97,34,0,171,8,4,50,4,50,87,393,171,2,5,0,4,5,110,8
Sadio Mané,sn SEN,FW,Liverpool,29,1992,34,32,2819,31.3,16,2,18,16,0,0,5,0,17.2,17.2,5.2,22.5,105,130,305,0.51,0.06,0.57,0.51,0.57,0.55,0.17,0.72,0.55,0.72,98,37,37.8,3.13,1.18,0.16,0.43,14.2,0,0,0,17.2,17.2,0.18,-1.2,-1.2,818,1100,74.4,12061,2748,460,550,83.6,274,360,76.1,44,67,65.7,5.2,4.4,-3.2,41,63,61,5,130,114,3.64,79,0,8,17,10,0,13,0.41,7,0,1,4,1,0,1492,20,94,617,806,201,1492,77,47,61,29,37.7,1027,5897,2663,105,57,45,104,59,1218,305
Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,19,15,1257,14,1,2,3,1,0,0,5,0,0.3,0.3,0.3,0.6,6,22,25,0.07,0.14,0.21,0.07,0.21,0.02,0.02,0.04,0.02,0.04,4,2,50,0.29,0.14,0.25,0.5,15.2,0,0,0,0.3,0.3,0.06,0.7,0.7,308,424,72.6,4133,1621,194,223,87,85,124,68.5,12,38,31.6,0.3,0.3,1.7,4,19,0,0,22,13,0.93,11,0,0,0,2,0,4,0.29,3,0,0,0,1,0,573,56,244,215,119,8,573,18,10,55.6,8,44.4,214,1018,442,6,11,0,14,3,230,25
Fernando Marçal,br BRA,MFDF,Wolves,32,1989,18,17,1449,16.1,0,0,0,0,0,0,3,0,0.4,0.4,0.6,1,39,50,98,0,0,0,0,0,0.02,0.04,0.06,0.02,0.06,11,1,9.1,0.68,0.06,0,0,23.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,669,887,75.4,10434,3383,356,394,90.4,264,347,76.1,35,87,40.2,0.6,0.7,-0.6,10,35,9,4,50,22,1.37,19,1,0,1,1,0,2,0.12,0,1,0,1,0,0,1093,59,348,443,312,24,1093,14,7,50,7,50,526,2466,1447,39,26,4,25,6,624,98
Solly March,eng ENG,DFFW,Brighton,27,1994,31,17,1746,19.4,0,2,2,0,0,0,1,0,1.2,1.2,2.3,3.5,71,69,148,0,0.1,0.1,0,0.1,0.06,0.12,0.18,0.06,0.18,20,10,50,1.03,0.52,0,0,18.3,2,0,0,1.2,1.2,0.06,-1.2,-1.2,556,771,72.1,9536,2619,291,348,83.6,178,245,72.7,67,115,58.3,2.3,2.9,-0.3,35,30,33,8,69,71,3.66,44,14,7,0,4,2,3,0.15,2,0,0,0,1,0,961,45,149,336,488,60,961,38,23,60.5,15,39.5,545,3555,1747,71,30,20,26,29,608,148
Pablo Marí,es ESP,DF,Arsenal,27,1993,2,2,180,2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0,9,0,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,1,0,0,0.5,0,0,,5.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,79,92,85.9,1437,481,33,37,89.2,40,41,97.6,5,11,45.5,0.1,0.3,-0.1,1,6,0,0,9,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,120,14,46,71,4,3,120,0,0,,0,,68,363,202,0,0,0,2,0,67,0
Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,8,2,212,2.4,1,0,1,1,0,0,0,0,0.7,0.7,0,0.7,10,14,32,0.42,0,0.42,0.42,0.42,0.28,0,0.28,0.28,0.28,5,2,40,2.12,0.85,0.2,0.5,13,0,0,0,0.7,0.7,0.13,0.3,0.3,67,86,77.9,946,198,43,51,84.3,23,28,82.1,0,2,0,0,0.4,0,0,5,5,0,14,5,2.12,4,0,0,0,1,0,1,0.42,1,0,0,0,0,0,109,1,8,38,65,14,109,7,4,57.1,3,42.9,74,478,274,10,5,4,6,4,97,32
Martinelli,br BRA,FWMF,Arsenal,20,2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,7.3,6.6,4.3,11,79,37,207,0.29,0.29,0.58,0.24,0.53,0.35,0.21,0.56,0.32,0.53,51,15,29.4,2.47,0.73,0.1,0.33,14.7,0,1,1,7.3,6.6,0.13,-1.3,-1.6,439,611,71.8,6765,1235,252,303,83.2,150,204,73.5,29,62,46.8,4.3,3.4,1.7,34,11,16,5,37,72,3.49,48,4,8,8,2,2,13,0.63,6,2,2,3,0,0,898,25,102,256,556,117,897,79,45,57,34,43,554,4204,2058,79,32,43,58,34,593,207
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,816,1103,74,21013,14329,202,203,99.5,383,390,98.2,227,502,45.2,0,0,0,0,15,0,0,0,5,0.14,3,2,0,0,0,0,1,0.03,1,0,0,0,0,0,1158,987,1140,19,0,0,1158,0,0,,0,,642,3642,2252,0,0,0,0,0,454,0
Adam Masina,ma MAR,DF,Watford,27,1994,15,13,1077,12,0,1,1,0,0,0,0,0,0.3,0.3,0.7,1,9,37,12,0,0.08,0.08,0,0.08,0.03,0.06,0.08,0.03,0.08,5,0,0,0.42,0,0,,13.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,375,549,68.3,7252,3197,147,183,80.3,178,230,77.4,47,121,38.8,0.7,0.7,0.3,7,33,7,6,37,13,1.09,9,2,0,0,1,1,1,0.08,1,0,0,0,0,0,680,61,268,296,122,5,680,11,9,81.8,2,18.2,271,1311,645,9,11,0,10,1,316,12
Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,13,6,650,7.2,1,1,2,1,0,0,1,0,0.1,0.1,0.8,0.9,16,33,26,0.14,0.14,0.28,0.14,0.28,0.01,0.12,0.12,0.01,0.12,4,1,25,0.55,0.14,0.25,1,26.5,0,0,0,0.1,0.1,0.01,0.9,0.9,289,382,75.7,4058,1291,171,189,90.5,87,121,71.9,15,40,37.5,0.8,0.8,0.2,2,30,6,2,33,7,0.97,6,1,0,0,0,0,2,0.28,1,1,0,0,0,0,479,26,138,198,145,9,479,17,10,58.8,7,41.2,223,1001,525,16,8,5,8,9,272,26
Juan Mata,es ESP,MF,Manchester Utd,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,8,16,13,0,0,0,0,0,0.12,0.09,0.22,0.12,0.22,5,1,20,1.91,0.38,0,0,16.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,187,217,86.2,2589,580,119,127,93.7,43,52,82.7,14,19,73.7,0.2,0.3,-0.2,2,16,6,2,16,9,3.45,9,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,38,124,85,7,245,6,3,50,3,50,157,821,355,8,8,0,6,2,194,13
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,22,13,1145,12.7,5,1,6,5,0,0,2,0,5.8,5.8,1.3,7.1,16,6,46,0.39,0.08,0.47,0.39,0.47,0.46,0.1,0.56,0.46,0.56,37,18,48.6,2.91,1.41,0.14,0.28,11.2,0,0,0,5.8,5.8,0.17,-0.8,-0.8,158,238,66.4,1749,253,106,142,74.6,29,44,65.9,2,7,28.6,1.3,0.6,-0.3,7,4,3,1,6,20,1.57,14,0,0,4,0,2,2,0.16,1,0,0,1,0,0,387,16,36,194,160,63,387,17,10,58.8,7,41.2,199,882,366,16,6,7,28,23,273,46
Nemanja Mati?,rs SRB,MF,Manchester Utd,32,1988,23,16,1382,15.4,0,4,4,0,0,0,3,0,0.2,0.2,2,2.2,32,98,7,0,0.26,0.26,0,0.26,0.01,0.13,0.14,0.01,0.14,6,1,16.7,0.39,0.07,0,0,23.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,911,1053,86.5,15189,4882,447,493,90.7,344,384,89.6,88,110,80,2,1.4,2,13,97,7,2,98,30,1.96,28,0,1,0,0,1,6,0.39,6,0,0,0,0,0,1215,55,335,709,182,8,1215,22,17,77.3,5,22.7,715,4173,2561,32,32,2,19,21,851,7
Joël Matip,cm CMR,DF,Liverpool,29,1991,31,31,2790,31,3,3,6,3,0,0,2,0,3.4,3.4,1.3,4.6,55,186,7,0.1,0.1,0.19,0.1,0.19,0.11,0.04,0.15,0.11,0.15,35,7,20,1.13,0.23,0.09,0.43,9.9,0,0,0,3.4,3.4,0.1,-0.4,-0.4,2074,2344,88.5,39370,13117,675,757,89.2,1170,1262,92.7,202,271,74.5,1.3,2,1.7,12,186,9,0,186,42,1.35,33,0,0,8,1,0,9,0.29,7,0,0,1,1,0,2651,232,991,1489,185,63,2651,10,9,90,1,10,1612,9763,7174,55,62,2,13,7,1837,7
Neal Maupay,fr FRA,FW,Brighton,24,1996,32,25,2276,25.3,8,2,10,7,1,2,7,0,8.7,7.1,2.4,9.5,21,48,164,0.32,0.08,0.4,0.28,0.36,0.34,0.1,0.44,0.28,0.38,59,14,23.7,2.33,0.55,0.12,0.5,16.8,0,1,2,8.7,7.1,0.12,-0.7,-0.1,479,622,77,6208,920,279,326,85.6,144,174,82.8,11,19,57.9,2.4,2,-0.4,23,20,25,2,48,59,2.33,42,0,3,9,5,0,3,0.12,3,0,0,0,0,0,843,8,40,338,474,108,841,41,21,51.2,20,48.8,499,2081,808,21,34,7,53,51,615,164
Bryan Mbeumo,cm CMR,FW,Brentford,21,1999,35,34,2905,32.3,4,7,11,3,1,1,4,0,9.3,8.5,3.7,12.2,81,56,273,0.12,0.22,0.34,0.09,0.31,0.29,0.11,0.4,0.26,0.38,76,19,25,2.35,0.59,0.04,0.16,16.3,4,1,1,9.3,8.5,0.11,-5.3,-5.5,527,817,64.5,7739,1649,315,409,77,149,229,65.1,38,81,46.9,3.7,3.3,3.3,34,33,28,7,56,86,2.66,53,10,10,6,7,0,12,0.37,10,1,0,0,1,0,1188,18,126,427,655,137,1187,80,39,48.8,41,51.3,713,4405,2052,81,39,33,87,57,828,273
James McArthur,sct SCO,MF,Crystal Palace,33,1987,21,15,1439,16,0,3,3,0,0,0,4,0,0.3,0.3,1.4,1.7,29,84,22,0,0.19,0.19,0,0.19,0.02,0.09,0.11,0.02,0.11,9,3,33.3,0.56,0.19,0,0,20.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,773,940,82.2,13033,3152,357,397,89.9,330,366,90.2,61,114,53.5,1.4,1,1.6,16,64,19,4,84,35,2.19,30,1,1,1,2,0,4,0.25,4,0,0,0,0,0,1127,45,271,641,226,19,1127,30,21,70,9,30,629,3305,1472,29,26,4,22,14,699,22
James Mcatee,eng ENG,MFFW,Manchester City,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,1,3,0,0,0,0,0,0.37,0,0.37,0.37,0.37,1,0,0,4.5,0,0,,10.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,9,13,69.2,141,7,3,5,60,6,6,100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,10,5,3,16,1,1,100,0,0,7,55,30,2,0,1,1,2,12,3
Kasey McAteer,eng ENG,FW,Leicester City,19,2001,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1,100,5,0,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,,0,,2,1,0,0,0,0,1,0,2,0
