STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,WESD,WESF
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/10/2020,,,0.06,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/10/2020,,,0.12,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/11/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/11/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/12/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/12/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/13/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/13/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/14/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/14/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/15/2020,,,0,0,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/15/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/16/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/16/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/17/2020,,,0,0,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/17/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/18/2020,,,0.21,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/18/2020,,,0.24,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/18/2020,,,0.26,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/19/2020,,,0.02,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/19/2020,,,0.03,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/20/2020,,,0,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/20/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/21/2020,,,0.08,,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/21/2020,,,0.07,0,0,,
US1MNCY0006,"MOORHEAD 2.8 SW, MN US",6/21/2020,,,0.19,,,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/22/2020,,,0,0,,,
US1MNCY0001,"MOORHEAD 2.0 N, MN US",6/22/2020,,,0,0,0,,
US1MNCY0024,"MOORHEAD 1.0 NE, MN US",6/23/2020,,,0,,,,
